SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03123","Priest Elementary-Middle School","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","698","364","334","0","9","123","347","1","218","0","0","69","65","71","79","70","87","97","82","78","0","0","0","0","610","73","397"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03130","Pulaski Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","375","179","196","1","4","357","2","1","4","6","0","32","31","45","41","57","41","37","43","48","0","0","0","0","345","38","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","1176","403","773","1","3","1164","5","0","2","1","0","0","0","0","0","0","0","0","0","0","269","346","295","266","638","21","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00238","Roberto Clemente Learning Academy","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","604","314","290","0","0","26","533","0","43","2","0","93","99","88","108","98","118","0","0","0","0","0","0","0","528","57","428"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04062","Ronald Brown Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","717","399","318","2","0","704","4","0","2","5","0","41","96","92","78","88","92","77","77","76","0","0","0","0","600","127","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04413","Sampson-Webber Leadership Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","334","180","154","0","0","323","3","0","2","6","0","28","41","43","34","38","46","40","34","30","0","0","0","0","311","60","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03420","Schulze Academy for Technology and Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","656","336","320","0","0","654","2","0","0","0","0","57","87","99","88","91","99","69","66","0","0","0","0","0","585","68","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03444","SER Metro YouthBuild Learning Academy","82","Wayne","LEA School","High School","City: Small","Wayne Region","         3","71","35","36","0","0","39","20","0","12","0","0","0","0","0","0","0","0","0","0","0","5","23","25","18","63","<10","19"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03540","Southeastern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","431","226","205","0","1","427","2","0","1","0","0","0","0","0","0","0","0","0","0","0","240","80","74","37","355","56","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03558","Spain Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","295","139","156","1","0","289","3","0","0","2","0","33","39","28","28","32","40","35","26","34","0","0","0","0","242","44","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03638","The School at Marygrove","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","208","92","116","1","0","202","0","0","5","0","0","0","0","0","0","0","0","0","0","0","92","116","0","0","124","13","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03662","The SER Learning Academy – East","82","Wayne","LEA School","High School","Not Specified","Wayne Region","         3","43","22","21","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","19","7","42","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04156","Thirkell Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","563","302","261","0","0","558","4","0","1","0","0","29","70","81","95","62","63","57","53","53","0","0","0","0","509","98","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00857","Thurgood Marshall Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","447","244","203","1","0","441","4","0","0","1","0","42","49","65","48","61","38","41","46","57","0","0","0","0","397","103","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03284","Turning Point Academy","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","37","24","13","0","0","36","0","0","0","1","0","0","0","0","1","0","4","2","3","8","9","3","6","1","33","34","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04292","Vernor Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","246","126","120","0","0","244","1","1","0","0","0","34","43","27","40","31","30","20","21","0","0","0","0","0","213","24","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04406","Wayne Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","304","150","154","0","0","304","0","0","0","0","0","44","48","56","47","56","53","0","0","0","0","0","0","0","281","32","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","274","156","118","1","0","266","4","0","3","0","0","0","0","0","0","0","0","0","0","0","73","81","60","60","252","69","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04477","Western International High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","2007","1068","939","6","2","364","1460","0","174","1","0","0","0","0","0","0","0","0","0","0","465","516","499","527","1543","220","1116"
